size,smiles,gsk3b,jnk3,qed,sa,max_or_val,Unnamed: 7,source_smi
43,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5ccc(-c6ccc(F)cc6)cc5)ccc4c3)[nH]2)cc1,0.77,0.65,0.2136991893266684,0.7648981622907299,0,,0
37,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5ccc(F)cc5)ccc4c3)[nH]2)cc1,0.77,0.65,0.26494085671151,0.775546437019877,0,,0
38,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5ccc(F)nc5F)ccc4c3)[nH]2)cc1,0.73,0.55,0.2466956789961508,0.7424706585809758,0,,0
44,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5cc(F)ccc5-c5ccc(F)cc5)ccc4c3)[nH]2)cc1,0.74,0.62,0.2078491734225417,0.7521281407731161,0,,0
38,C[S@@](=O)c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4cc(-c5cc(F)ccc5I)ccc4c3)[nH]2)cc1,0.77,0.6,0.1962208140842444,0.7490307984411158,0,,0
46,CS(=O)c1ccc(-c2ccc(F)cc2-c2ccc3cc(-c4[nH]c(-c5ccc([S@@](C)=O)cc5)nc4-c4ccncc4)ccc3c2)cc1,0.74,0.62,0.1886392620483678,0.6983769592249678,0,,0
25,O=C(O)c1cccc(-c2ccnc(Nc3ccc4n[nH]cc4c3)n2)c1,0.74,0.65,0.5288916555583125,0.8315818729502829,0,,1
29,c1ccc(Nc2cc(-c3ccnc(Nc4ccc5n[nH]cc5c4)n3)ccn2)cc1,0.82,0.77,0.402166209560966,0.8222244399017088,0,,1
33,Fc1ccc(-c2cc(Nc3ccnc(Nc4ccc(-c5ccccc5F)cc4)n3)[nH]n2)cc1,0.84,0.67,0.2888281579881206,0.8371889013792378,0,,1
23,NC(=O)c1ccc(Nc2ccnc(Nc3ccccc3)n2)nc1,0.69,0.52,0.6683283970303561,0.8758290671947686,0,,1
24,Cn1ncc2cc(Nc3nccc(Nc4ccccc4)n3)ccc21,0.75,0.54,0.5983682924600291,0.8637194561113775,0,,1
26,Fc1ccc(-c2cc(Nc3ccnc(Nc4ccccc4)n3)[nH]n2)cc1,0.84,0.56,0.4960315898651505,0.8502414564376597,0,,1
29,Fc1ccc(-c2cc(Nc3ccnc(Nc4ccc5n[nH]cc5c4)n3)[nH]n2)cc1,0.73,0.58,0.3572981200054118,0.785658737600802,0,,1
36,Fc1ccccc1-c1ccc(-c2cc(Nc3ccnc(Nc4ccc(C(F)(F)F)cc4)n3)[nH]n2)cc1,0.79,0.59,0.2198674008077252,0.8223880496388573,0,,1
31,Fc1ccc(-c2cc(Nc3ccnc(Nc4ccc(-c5cn[nH]c5)cc4)n3)[nH]n2)cc1,0.84,0.66,0.3165377444274227,0.8115896107851666,0,,1
25,Fc1cc(-c2ccnc(Nc3ccc4n[nH]cc4c3)n2)cc(F)c1F,0.8,0.63,0.5487124692885942,0.8078834096555867,0,,1
24,[C-]#[N+]c1ccc(-c2ccnc(Nc3ccc(N(C)C)cc3)n2)cc1,0.84,0.74,0.7198402234482131,0.8507649913069434,0,,1
22,c1ccc(-c2ccnc(Nc3ccc4c[nH]nc4c3)n2)cc1,0.84,0.64,0.6017612701504051,0.8507141102737327,0,,1
26,c1ccc2ncc(-c3ccnc(Nc4ccc5c[nH]nc5c4)n3)cc2c1,0.82,0.67,0.5122511235461612,0.8281743696782651,0,,1
26,Cc1ccc(Nc2nccc(-c3ccc(-n4ccc(C)n4)cc3)n2)cn1,0.84,0.77,0.6049576206659311,0.8537487701765524,0,,1
32,CC1CCN(c2ccc(Nc3nccc(Nc4ccc(-c5cn[nH]c5)cn4)n3)cc2)CC1,0.69,0.68,0.3999293887967654,0.8205899998327502,0,,1
28,NS(=O)(=O)c1ccc(Nc2ncc(F)c(Nc3ccc4nn[nH]c4c3)n2)cc1,0.71,0.62,0.3970179177728573,0.8116667258067127,0,,1
30,Fc1ccc(Nc2ccc(-c3ccnc(Nc4ccc5nn[nH]c5c4)n3)cc2)cc1,0.7,0.74,0.3847790683327163,0.8355814216961408,0,,1
20,Brc1ccc(-c2ccnc(Nc3ccccc3)n2)cn1,0.88,0.7,0.7376664265754026,0.8825414145928969,0,,1
23,CC(C)(C)c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.93,0.81,0.7237113226326242,0.9079165598016642,0,,1
30,Clc1ccc(Nc2cc(-c3ccnc(Nc4ccc5n[nH]cc5c4)n3)ccn2)cc1,0.82,0.71,0.3493382405744757,0.8172268840989064,0,,1
19,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.95,0.75,0.7626630429862935,0.934360463764932,0,,1
20,Fc1cc(-c2ccnc(Nc3ccccc3)n2)ccn1,0.94,0.71,0.7378695562648271,0.8843854823895071,0,,1
21,Fc1ccc(Nc2nccc(-c3cccc(F)c3)n2)cc1,0.88,0.75,0.7837517154076079,0.9086751588899102,0,,1
26,c1ccc(Nc2ccc(Nc3nccc(-c4cccnc4)n3)cc2)cc1,0.85,0.81,0.5340468210230357,0.8944877819070621,0,,1
25,c1ccc(-c2ccc(Nc3nccc(-c4cccnc4)n3)cc2)cc1,0.84,0.81,0.5769078727332378,0.9031508199119972,0,,1
22,NNc1cc(-c2ccnc(Nc3ccc(Cl)cc3)n2)ccn1,0.87,0.67,0.5061299597372444,0.8701500222783944,0,,1
30,CC(C)n1cc(-c2ccc(-c3ccnc(Nc4ccc5scnc5c4)n3)cc2)cn1,0.81,0.61,0.3867340763563287,0.8246608689342957,0,,1
21,Cn1cnc(Nc2nccc(-c3ccc(NN)cc3)n2)c1,0.75,0.61,0.4993623922725168,0.8353634312732646,0,,1
28,Nc1nccc(Nc2ccc(-c3ccnc(Nc4ccc(Cl)cc4)n3)cc2)n1,0.76,0.63,0.4559651634249343,0.8647827764633731,0,,1
23,Cn1ncc2cc(Nc3nccc(-c4ccccc4)n3)ccc21,0.86,0.64,0.6255304359823234,0.8756882655468993,0,,1
34,c1cc(-c2ccc(N3CCNCC3)cc2)nc(Nc2ccc(-c3ccc4c[nH]nc4c3)cc2)n1,0.78,0.73,0.3576957021277899,0.8198122064225808,0,,1
27,Nc1ccc(Nc2nccc(Nc3cc(-c4ccc(F)cc4)n[nH]3)n2)cc1,0.83,0.7,0.3994203277005388,0.8355449353232015,0,,1
27,Fc1ccc(Nc2nccc(Nc3cc(-c4ccc(F)cc4)n[nH]3)n2)cc1,0.84,0.69,0.4810944568954524,0.84416947281103,0,,1
21,CNc1cc(-c2ccnc(Nc3ccccc3)n2)ccn1,0.89,0.74,0.7656092430944811,0.882263915347625,0,,1
22,CN(C)c1ccc(-c2ccnc(Nc3ccccc3)n2)cn1,0.87,0.65,0.798607804338851,0.8803536280476253,0,,1
22,c1ccc(-c2ccnc(Nc3ccc4c(c3)OCO4)n2)cc1,0.87,0.62,0.7984580683996085,0.8964280962877186,0,,1
22,c1ccc(-c2ccnc(Nc3ccc4nc[nH]c4c3)n2)cc1,0.8,0.6,0.6017612701504051,0.8781103806700029,0,,1
25,CN(C)c1ccc(-c2ccnc(Nc3ccc4scnc4c3)n2)cn1,0.81,0.62,0.6020745517510742,0.8295483639934863,0,,1
20,Brc1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.85,0.84,0.7612079968535894,0.9191826140713846,0,,1
25,CNc1ccc(Nc2nccc(-c3ccc(S(N)(=O)=O)cc3)n2)cc1,0.82,0.81,0.6487304514651506,0.8815947404609317,0,,1
23,CC(F)(F)c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,0.83,0.75,0.7758082921304105,0.8663123639974682,0,,1
31,c1cncc(-c2ccc(-c3ccc(Nc4nccc(-c5cccnc5)n4)cc3)cc2)c1,0.84,0.82,0.3905821914867688,0.8750018217392428,0,,1
27,C[n+]1ccc(-c2ccnc(Nc3ccc(Nc4ccccc4)cc3)n2)cc1,0.91,0.81,0.5198333976488251,0.8593138033855191,0,,1
21,NNc1cc(-c2ccnc(Nc3ccccc3)n2)ccn1,0.93,0.69,0.5018553443785787,0.8763941883004784,0,,1
27,NNc1cc(-c2ccnc(Nc3ccc(-c4ccccc4)cc3)n2)ccn1,0.92,0.73,0.3669740264050881,0.8753503418470575,0,,1
19,c1ccc(-c2ccnc(Nc3ccncc3)n2)cc1,0.88,0.66,0.7723916492842495,0.9054117458162142,0,,1
21,Fc1ccc(Nc2nccc(-c3ccccc3)n2)cc1F,0.9,0.74,0.7837517154076078,0.9089707452707424,0,,1
23,FC(F)(F)c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.91,0.73,0.7463080506047935,0.9046007089858136,0,,1
20,Fc1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.9,0.83,0.7766543901704422,0.9255036049449176,0,,1
20,Clc1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.92,0.76,0.7657023045039479,0.9261768774351392,0,,1
40,CC1(C)Cc2cnc(Nc3ccc(N4CCN(c5ccnc(C(N)=O)c5)CC4)cc3)nc2-c2[nH]nc(C(N)=O)c21,0.58,0.58,0.2874344748461088,0.7643250713396292,0,,4
51,CNC(=O)c1n[nH]c2c1C(C)(C)Cc1cnc(Nc3ccc(-c4ccc(-c5ccc(N6CCN(c7ccnc(Cl)c7)CC6)cc5)cc4)cc3)nc1-2,0.55,0.61,0.1471056994908382,0.7516318356840015,0,,4
55,CNC(=O)c1nn(C2CNC2)c2c1C(C)(C)Cc1cnc(Nc3ccc(-c4ccc(-c5ccc(N6CCN(c7ccnc(Cl)c7)CC6)cc5)cc4)cc3)nc1-2,0.57,0.57,0.1398564416295494,0.7282956179800384,0,,4
56,CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(-c4ccc(-c5ccc(N6CCN(c7ccnc(-c8cnsc8)c7)CC6)cc5)cc4)cc3)nc1-2,0.54,0.57,0.1591268436869445,0.7171503974014084,0,,4
38,CC1(C)Cc2cnc(Nc3ccc(-c4cccc(-c5ccnc(Cl)c5)c4)cc3)nc2-c2[nH]nc(C(N)=O)c21,0.63,0.59,0.2464336602301181,0.7770268277990567,0,,4
51,Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccc(-c4ccc(N5CCN(c6ccnc(-c7ccc(F)cc7)c6)CC5)cc4)cc3)ncc1CC2(C)C,0.53,0.57,0.1904385493765365,0.7568178794986168,0,,4
